Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2010","2010","1000 ha","37917","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2011","2011","1000 ha","37915","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2012","2012","1000 ha","37914","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2013","2013","1000 ha","37910","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2014","2014","1000 ha","37910","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2015","2015","1000 ha","37910","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2016","2016","1000 ha","37910","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2017","2017","1000 ha","37910","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2018","2018","1000 ha","38010","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2019","2019","1000 ha","38010","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2020","2020","1000 ha","38313","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2021","2021","1000 ha","38313","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2022","2022","1000 ha","38313","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2023","2023","1000 ha","38116","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2010","2010","1000 ha","37917","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6610","Agricultural land","2010","2010","%","58.13","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2010","2010","USD_PPP/ha","145.58","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2011","2011","1000 ha","37915","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6610","Agricultural land","2011","2011","%","58.13","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2011","2011","USD_PPP/ha","139.03","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2012","2012","1000 ha","37914","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6610","Agricultural land","2012","2012","%","58.13","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2012","2012","USD_PPP/ha","154.33","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2013","2013","1000 ha","37910","A","Official figure",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6610","Agricultural land","2013","2013","%","58.12","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2013","2013","USD_PPP/ha","150.41","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2014","2014","1000 ha","37910","A","Official figure",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6610","Agricultural land","2014","2014","%","58.12","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2014","2014","USD_PPP/ha","161.86","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2015","2015","1000 ha","37910","A","Official figure",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6610","Agricultural land","2015","2015","%","58.12","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2015","2015","USD_PPP/ha","152.65","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2016","2016","1000 ha","37910","A","Official figure",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6610","Agricultural land","2016","2016","%","58.12","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2016","2016","USD_PPP/ha","162.31","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2017","2017","1000 ha","37910","A","Official figure",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6610","Agricultural land","2017","2017","%","58.12","A","Official figure",""
"RL","Land Use","004","Afghanistan","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2017","2017","USD_PPP/ha","158.33","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2018","2018","1000 ha","38010","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6610","Agricultural land","2018","2018","%","58.28","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2018","2018","USD_PPP/ha","152.71","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2019","2019","1000 ha","38010","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6610","Agricultural land","2019","2019","%","58.28","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2019","2019","USD_PPP/ha","172.38","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2020","2020","1000 ha","38313","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6610","Agricultural land","2020","2020","%","58.74","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2020","2020","USD_PPP/ha","176.14","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2021","2021","1000 ha","38313","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6610","Agricultural land","2021","2021","%","58.74","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2021","2021","USD_PPP/ha","178.99","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2022","2022","1000 ha","38313","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6610","Agricultural land","2022","2022","%","58.74","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2022","2022","USD_PPP/ha","174.57","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2023","2023","1000 ha","38116","A","Official figure",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6610","Agricultural land","2023","2023","%","58.44","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2023","2023","USD_PPP/ha","183.18","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2010","2010","1000 ha","7917","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2010","2010","%","20.88","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6620","Cropland","2010","2010","%","12.14","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2010","2010","ha/cap","0.2799","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2011","2011","1000 ha","7915","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2011","2011","%","20.88","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6620","Cropland","2011","2011","%","12.14","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2011","2011","ha/cap","0.2697","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2012","2012","1000 ha","7914","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2012","2012","%","20.87","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6620","Cropland","2012","2012","%","12.13","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2012","2012","ha/cap","0.259","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2013","2013","1000 ha","7910","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2013","2013","%","20.87","A","Official figure",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6620","Cropland","2013","2013","%","12.13","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2013","2013","ha/cap","0.2501","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2014","2014","1000 ha","7910","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2014","2014","%","20.87","A","Official figure",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6620","Cropland","2014","2014","%","12.13","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2014","2014","ha/cap","0.2412","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2015","2015","1000 ha","7910","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2015","2015","%","20.87","A","Official figure",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6620","Cropland","2015","2015","%","12.13","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2015","2015","ha/cap","0.2338","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2016","2016","1000 ha","7910","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2016","2016","%","20.87","A","Official figure",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6620","Cropland","2016","2016","%","12.13","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2016","2016","ha/cap","0.2279","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2017","2017","1000 ha","7910","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2017","2017","%","20.87","A","Official figure",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6620","Cropland","2017","2017","%","12.13","A","Official figure",""
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2017","2017","ha/cap","0.2216","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2018","2018","1000 ha","8010","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2018","2018","%","21.07","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6620","Cropland","2018","2018","%","12.28","A","Official figure",""
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2018","2018","ha/cap","0.218","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2019","2019","1000 ha","8010","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2019","2019","%","21.07","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6620","Cropland","2019","2019","%","12.28","A","Official figure",""
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2019","2019","ha/cap","0.2116","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2020","2020","1000 ha","8051","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2020","2020","%","21.01","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6620","Cropland","2020","2020","%","12.34","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2020","2020","ha/cap","0.2061","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2021","2021","1000 ha","8051","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2021","2021","%","21.01","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6620","Cropland","2021","2021","%","12.34","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2021","2021","ha/cap","0.2013","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2022","2022","1000 ha","8051","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2022","2022","%","21.01","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6620","Cropland","2022","2022","%","12.34","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2022","2022","ha/cap","0.1984","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2023","2023","1000 ha","8116","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2023","2023","%","21.29","A","Official figure",""
"RL","Land Use","004","Afghanistan","7209","Share in Land area","6620","Cropland","2023","2023","%","12.44","E","Estimated value",""
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2023","2023","ha/cap","0.1958","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2010","2010","1000 ha","7793","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2010","2010","%","20.55","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2011","2011","1000 ha","7791","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2011","2011","%","20.55","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2012","2012","1000 ha","7790","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2012","2012","%","20.55","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2013","2013","1000 ha","7785","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2013","2013","%","20.54","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2014","2014","1000 ha","7771","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2014","2014","%","20.5","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2015","2015","1000 ha","7765","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2015","2015","%","20.48","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2016","2016","1000 ha","7729","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2016","2016","%","20.39","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2017","2017","1000 ha","7699","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2017","2017","%","20.31","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2018","2018","1000 ha","7794","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2018","2018","%","20.51","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2019","2019","1000 ha","7788","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2019","2019","%","20.49","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2020","2020","1000 ha","7829","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2020","2020","%","20.43","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2021","2021","1000 ha","7829","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2021","2021","%","20.43","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2022","2022","1000 ha","7810","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2022","2022","%","20.38","E","Estimated value",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2023","2023","1000 ha","7846","A","Official figure",""
"RL","Land Use","004","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2023","2023","%","20.58","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2010","2010","1000 ha","3481","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2011","2011","1000 ha","3081","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2012","2012","1000 ha","3454","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2013","2013","1000 ha","3491","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2014","2014","1000 ha","3485","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2015","2015","1000 ha","3355","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2016","2016","1000 ha","3419","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2017","2017","1000 ha","2872","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2018","2018","1000 ha","2300","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2019","2019","1000 ha","3338","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2020","2020","1000 ha","3834","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2021","2021","1000 ha","2907","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2022","2022","1000 ha","2913","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2023","2023","1000 ha","3119","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2010","2010","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2011","2011","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2012","2012","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2013","2013","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2014","2014","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2016","2016","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2017","2017","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2018","2018","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2019","2019","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0","I","Value imputed by a receiving agency",""
