area,item,year,value
Afghanistan,Bovine Meat,2010,4.72
Afghanistan,Bovine Meat,2011,4.79
Afghanistan,Bovine Meat,2012,4.38
Afghanistan,Bovine Meat,2013,4.17
Afghanistan,Bovine Meat,2014,4.98
Afghanistan,Bovine Meat,2015,3.8
Afghanistan,Bovine Meat,2016,3.27
Afghanistan,Bovine Meat,2017,2.92
Afghanistan,Bovine Meat,2018,2.66
Afghanistan,Bovine Meat,2019,2.75
Afghanistan,Bovine Meat,2020,3.19
Afghanistan,Bovine Meat,2021,2.29
Afghanistan,Bovine Meat,2022,1.89
Afghanistan,Bovine Meat,2023,1.73
Afghanistan,Mutton & Goat Meat,2010,5.02
Afghanistan,Mutton & Goat Meat,2011,4.64
Afghanistan,Mutton & Goat Meat,2012,5.01
Afghanistan,Mutton & Goat Meat,2013,5.19
Afghanistan,Mutton & Goat Meat,2014,5.05
Afghanistan,Mutton & Goat Meat,2015,4.76
Afghanistan,Mutton & Goat Meat,2016,4.79
Afghanistan,Mutton & Goat Meat,2017,4.44
Afghanistan,Mutton & Goat Meat,2018,4.31
Afghanistan,Mutton & Goat Meat,2019,3.45
Afghanistan,Mutton & Goat Meat,2020,4.02
Afghanistan,Mutton & Goat Meat,2021,3.79
Afghanistan,Mutton & Goat Meat,2022,3.66
Afghanistan,Mutton & Goat Meat,2023,3.57
Afghanistan,Pigmeat,2014,0.03
Afghanistan,Pigmeat,2015,0.02
Afghanistan,Pigmeat,2016,0.01
Afghanistan,Pigmeat,2017,0.02
Afghanistan,Pigmeat,2018,0.03
Afghanistan,Pigmeat,2019,0.03
Afghanistan,Pigmeat,2020,0.04
Afghanistan,Pigmeat,2021,0.01
Afghanistan,Pigmeat,2022,0.01
Afghanistan,Pigmeat,2023,0
Armenia,Bovine Meat,2010,19.66
Armenia,Bovine Meat,2011,21.23
Armenia,Bovine Meat,2012,19.85
Armenia,Bovine Meat,2013,20.55
Armenia,Bovine Meat,2014,22.4
Armenia,Bovine Meat,2015,22.65
Armenia,Bovine Meat,2016,24.31
Armenia,Bovine Meat,2017,25.05
Armenia,Bovine Meat,2018,25.35
Armenia,Bovine Meat,2019,25.38
Armenia,Bovine Meat,2020,25.17
Armenia,Bovine Meat,2021,25.86
Armenia,Bovine Meat,2022,24.19
Armenia,Bovine Meat,2023,22.3
Armenia,Mutton & Goat Meat,2010,2.8
Armenia,Mutton & Goat Meat,2011,2.87
Armenia,Mutton & Goat Meat,2012,2.9
Armenia,Mutton & Goat Meat,2013,3.07
Armenia,Mutton & Goat Meat,2014,3
Armenia,Mutton & Goat Meat,2015,3.13
Armenia,Mutton & Goat Meat,2016,2.68
Armenia,Mutton & Goat Meat,2017,2.79
Armenia,Mutton & Goat Meat,2018,2.94
Armenia,Mutton & Goat Meat,2019,3.26
Armenia,Mutton & Goat Meat,2020,3.68
Armenia,Mutton & Goat Meat,2021,3.76
Armenia,Mutton & Goat Meat,2022,3.74
Armenia,Mutton & Goat Meat,2023,3.5
Armenia,Pigmeat,2010,6.69
Armenia,Pigmeat,2011,7.99
Armenia,Pigmeat,2012,8.6
Armenia,Pigmeat,2013,9.51
Armenia,Pigmeat,2014,10.74
Armenia,Pigmeat,2015,10.65
Armenia,Pigmeat,2016,9.24
Armenia,Pigmeat,2017,9.54
Armenia,Pigmeat,2018,10.37
Armenia,Pigmeat,2019,9.87
Armenia,Pigmeat,2020,8.9
Armenia,Pigmeat,2021,10.05
Armenia,Pigmeat,2022,11
Armenia,Pigmeat,2023,10.77
Azerbaijan,Bovine Meat,2010,12.57
Azerbaijan,Bovine Meat,2011,12.8
Azerbaijan,Bovine Meat,2012,12.41
Azerbaijan,Bovine Meat,2013,12.62
Azerbaijan,Bovine Meat,2014,11.64
Azerbaijan,Bovine Meat,2015,12.71
Azerbaijan,Bovine Meat,2016,12.23
Azerbaijan,Bovine Meat,2017,12.65
Azerbaijan,Bovine Meat,2018,12.8
Azerbaijan,Bovine Meat,2019,12.56
Azerbaijan,Bovine Meat,2020,13.35
Azerbaijan,Bovine Meat,2021,14.95
Azerbaijan,Bovine Meat,2022,15.11
Azerbaijan,Bovine Meat,2023,14.21
Azerbaijan,Mutton & Goat Meat,2010,7.69
Azerbaijan,Mutton & Goat Meat,2011,7.62
Azerbaijan,Mutton & Goat Meat,2012,7.64
Azerbaijan,Mutton & Goat Meat,2013,7.74
Azerbaijan,Mutton & Goat Meat,2014,7
Azerbaijan,Mutton & Goat Meat,2015,7.12
Azerbaijan,Mutton & Goat Meat,2016,7.69
Azerbaijan,Mutton & Goat Meat,2017,7.68
Azerbaijan,Mutton & Goat Meat,2018,7.7
Azerbaijan,Mutton & Goat Meat,2019,8.26
Azerbaijan,Mutton & Goat Meat,2020,8.29
Azerbaijan,Mutton & Goat Meat,2021,8.56
Azerbaijan,Mutton & Goat Meat,2022,8.65
Azerbaijan,Mutton & Goat Meat,2023,8.61
Azerbaijan,Pigmeat,2010,0.34
Azerbaijan,Pigmeat,2011,0.3
Azerbaijan,Pigmeat,2012,0.23
Azerbaijan,Pigmeat,2013,0.21
Azerbaijan,Pigmeat,2014,0.34
Azerbaijan,Pigmeat,2015,1.21
Azerbaijan,Pigmeat,2016,0.78
Azerbaijan,Pigmeat,2017,0.62
Azerbaijan,Pigmeat,2018,0.61
Azerbaijan,Pigmeat,2019,0.66
Azerbaijan,Pigmeat,2020,0.68
Azerbaijan,Pigmeat,2021,0.83
Azerbaijan,Pigmeat,2022,0.82
Azerbaijan,Pigmeat,2023,0.93
Bahrain,Bovine Meat,2019,13.77
Bahrain,Bovine Meat,2020,14.27
Bahrain,Bovine Meat,2021,13.95
Bahrain,Bovine Meat,2022,14.88
Bahrain,Bovine Meat,2023,13.89
Bahrain,Mutton & Goat Meat,2019,22.63
Bahrain,Mutton & Goat Meat,2020,21.65
Bahrain,Mutton & Goat Meat,2021,21.38
Bahrain,Mutton & Goat Meat,2022,22.61
Bahrain,Mutton & Goat Meat,2023,21.63
Bahrain,Pigmeat,2019,0.98
Bahrain,Pigmeat,2020,0.97
Bahrain,Pigmeat,2021,0.7
Bahrain,Pigmeat,2022,0.85
Bahrain,Pigmeat,2023,0.64
Bangladesh,Bovine Meat,2010,1.27
Bangladesh,Bovine Meat,2011,1.17
Bangladesh,Bovine Meat,2012,1.17
Bangladesh,Bovine Meat,2013,1.22
Bangladesh,Bovine Meat,2014,1.31
Bangladesh,Bovine Meat,2015,1.37
Bangladesh,Bovine Meat,2016,1.31
Bangladesh,Bovine Meat,2017,1.21
Bangladesh,Bovine Meat,2018,1.21
