area,item,unit,year,value
Afghanistan,Cattle,kt,2010,5.0383
Afghanistan,Cattle,kt,2011,4.9079
Afghanistan,Cattle,kt,2012,4.9678
Afghanistan,Cattle,kt,2013,4.9961
Afghanistan,Cattle,kt,2014,5.0436
Afghanistan,Cattle,kt,2015,4.6175
Afghanistan,Cattle,kt,2016,4.5968
Afghanistan,Cattle,kt,2017,4.3776
Afghanistan,Cattle,kt,2018,4.5202
Afghanistan,Cattle,kt,2019,4.5505
Afghanistan,Cattle,kt,2020,4.6111
Afghanistan,Cattle,kt,2021,4.6705
Afghanistan,Cattle,kt,2022,4.7799
Afghanistan,Cattle,kt,2023,4.8626
Afghanistan,Goats,kt,2010,2.3206
Afghanistan,Goats,kt,2011,2.6098
Afghanistan,Goats,kt,2012,2.499
Afghanistan,Goats,kt,2013,2.4054
Afghanistan,Goats,kt,2014,2.4129
Afghanistan,Goats,kt,2015,2.6399
Afghanistan,Goats,kt,2016,2.5459
Afghanistan,Goats,kt,2017,2.5971
Afghanistan,Goats,kt,2018,2.653
Afghanistan,Goats,kt,2019,2.6942
Afghanistan,Goats,kt,2020,2.6466
Afghanistan,Goats,kt,2021,2.6852
Afghanistan,Goats,kt,2022,2.7193
Afghanistan,Goats,kt,2023,2.7478
Afghanistan,Sheep,kt,2010,3.7697
Afghanistan,Sheep,kt,2011,4.0466
Afghanistan,Sheep,kt,2012,3.9212
Afghanistan,Sheep,kt,2013,3.7285
Afghanistan,Sheep,kt,2014,3.8261
Afghanistan,Sheep,kt,2015,3.7504
Afghanistan,Sheep,kt,2016,3.7638
Afghanistan,Sheep,kt,2017,3.9342
Afghanistan,Sheep,kt,2018,3.8161
Afghanistan,Sheep,kt,2019,3.6885
Afghanistan,Sheep,kt,2020,3.6349
Afghanistan,Sheep,kt,2021,3.6034
Afghanistan,Sheep,kt,2022,3.5467
Afghanistan,Sheep,kt,2023,3.4726
Armenia,Buffalo,kt,2010,0.0005
Armenia,Buffalo,kt,2011,0.0005
