Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Source Code,Source,Unit,Y2010,Y2010F,Y2010N,Y2011,Y2011F,Y2011N,Y2012,Y2012F,Y2012N,Y2013,Y2013F,Y2013N,Y2014,Y2014F,Y2014N,Y2015,Y2015F,Y2015N,Y2016,Y2016F,Y2016N,Y2017,Y2017F,Y2017N,Y2018,Y2018F,Y2018N,Y2019,Y2019F,Y2019N,Y2020,Y2020F,Y2020N,Y2021,Y2021F,Y2021N,Y2022,Y2022F,Y2022N,Y2023,Y2023F,Y2023N,Y2030,Y2030F,Y2030N,Y2050,Y2050F,Y2050N
2,'004,Afghanistan,1107,'02132,Asses,5111,Stocks,3050,FAO TIER 1,An,1405000,A,,1466000,A,,1423000,A,,1451000,A,,1441000,A,,1481000,A,,1472100,A,,1317000,A,,1329850,I,,1402909,I,,1520555,I,,1493288,I,,1506699,I,,1520111,I,,1359333,F,,1359333,F,
2,'004,Afghanistan,1107,'02132,Asses,72431,Livestock total (Emissions N2O),3050,FAO TIER 1,kt,0.6988,E,,0.7291,E,,0.7077,E,,0.7216,E,,0.7167,E,,0.7366,E,,0.7321,E,,0.655,E,,0.6614,E,,0.6977,E,,0.7562,E,,0.7427,E,,0.7493,E,,0.756,E,,0.6761,F,,0.6761,F,
2,'004,Afghanistan,1107,'02132,Asses,72441,Livestock total (Emissions CH4),3050,FAO TIER 1,kt,14.893,E,,15.5396,E,,15.0838,E,,15.3806,E,,15.2746,E,,15.6986,E,,15.6043,E,,13.9602,E,,14.0964,E,,14.8708,E,,16.1179,E,,15.8289,E,,15.971,E,,16.1132,E,,14.4089,F,,14.4089,F,
2,'004,Afghanistan,1107,'02132,Asses,72254,Enteric fermentation (Emissions CH4),3050,FAO TIER 1,kt,14.05,E,,14.66,E,,14.23,E,,14.51,E,,14.41,E,,14.81,E,,14.721,E,,13.17,E,,13.2985,E,,14.0291,E,,15.2056,E,,14.9329,E,,15.067,E,,15.2011,E,,13.5933,F,,13.5933,F,
2,'004,Afghanistan,1107,'02132,Asses,72386,"Manure management (manure treated, N content)",3050,FAO TIER 1,kg,1533346.75,E,,1599919.1,E,,1552991.05,E,,1583548.85,E,,1572635.35,E,,1616289.35,E,,1606576.335,E,,1437307.95,E,,1451331.798,E,,1531064.737,E,,1659457.699,E,,1629699.859,E,,1644335.954,E,,1658973.14,E,,1483508.433,F,,1483508.433,F,
2,'004,Afghanistan,1107,'02132,Asses,72256,Manure management (Emissions CH4),3050,FAO TIER 1,kt,0.843,E,,0.8796,E,,0.8538,E,,0.8706,E,,0.8646,E,,0.8886,E,,0.8833,E,,0.7902,E,,0.7979,E,,0.8417,E,,0.9123,E,,0.896,E,,0.904,E,,0.9121,E,,0.8156,F,,0.8156,F,
2,'004,Afghanistan,1107,'02132,Asses,72306,Manure management (Emissions N2O),3050,FAO TIER 1,kt,0.012,E,,0.0126,E,,0.0122,E,,0.0124,E,,0.0124,E,,0.0127,E,,0.0126,E,,0.0113,E,,0.0114,E,,0.012,E,,0.013,E,,0.0128,E,,0.0129,E,,0.013,E,,0.0117,F,,0.0117,F,
2,'004,Afghanistan,1107,'02132,Asses,72346,Manure management (Direct emissions N2O),3050,FAO TIER 1,kt,0.012,E,,0.0126,E,,0.0122,E,,0.0124,E,,0.0124,E,,0.0127,E,,0.0126,E,,0.0113,E,,0.0114,E,,0.012,E,,0.013,E,,0.0128,E,,0.0129,E,,0.013,E,,0.0117,F,,0.0117,F,
2,'004,Afghanistan,1107,'02132,Asses,72366,Manure management (Indirect emissions N2O),3050,FAO TIER 1,kt,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,F,,0,F,
2,'004,Afghanistan,1107,'02132,Asses,72380,Manure left on pasture (N content),3050,FAO TIER 1,kg,29133588.25,E,,30398462.9,E,,29506829.95,E,,30087428.15,E,,29880071.65,E,,30709497.65,E,,30524950.37,E,,27308851.05,E,,27575304.15,E,,29090230.01,E,,31529696.29,E,,30964297.32,E,,31242383.12,E,,31520489.66,E,,28186660.23,F,,28186660.23,F,
2,'004,Afghanistan,1107,'02132,Asses,723802,Manure left on pasture that leaches (N content),3050,FAO TIER 1,kg,8740076.475,E,,9119538.87,E,,8852048.985,E,,9026228.445,E,,8964021.495,E,,9212849.295,E,,9157485.11,E,,8192655.315,E,,8272591.246,E,,8727069.002,E,,9458908.886,E,,9289289.195,E,,9372714.936,E,,9456146.897,E,,8455998.07,F,,8455998.07,F,
2,'004,Afghanistan,1107,'02132,Asses,723801,Manure left on pasture that volatilises (N content),3050,FAO TIER 1,kg,5826717.65,E,,6079692.58,E,,5901365.99,E,,6017485.63,E,,5976014.33,E,,6141899.53,E,,6104990.073,E,,5461770.21,E,,5515060.831,E,,5818046.001,E,,6305939.257,E,,6192859.463,E,,6248476.624,E,,6304097.931,E,,5637332.047,F,,5637332.047,F,
2,'004,Afghanistan,1107,'02132,Asses,72300,Manure left on pasture (Emissions N2O),3050,FAO TIER 1,kt,0.6524,E,,0.6807,E,,0.6607,E,,0.6737,E,,0.6691,E,,0.6877,E,,0.6835,E,,0.6115,E,,0.6175,E,,0.6514,E,,0.706,E,,0.6934,E,,0.6996,E,,0.7058,E,,0.6312,F,,0.6312,F,
2,'004,Afghanistan,1107,'02132,Asses,72340,Manure left on pasture (Direct emissions N2O),3050,FAO TIER 1,kt,0.4578,E,,0.4777,E,,0.4637,E,,0.4728,E,,0.4695,E,,0.4826,E,,0.4797,E,,0.4291,E,,0.4333,E,,0.4571,E,,0.4955,E,,0.4866,E,,0.491,E,,0.4953,E,,0.4429,F,,0.4429,F,
2,'004,Afghanistan,1107,'02132,Asses,723602,Indirect emissions (N2O that leaches) (Manure on pasture),3050,FAO TIER 1,kt,0.103,E,,0.1075,E,,0.1043,E,,0.1064,E,,0.1056,E,,0.1086,E,,0.1079,E,,0.0966,E,,0.0975,E,,0.1029,E,,0.1115,E,,0.1095,E,,0.1105,E,,0.1114,E,,0.0997,F,,0.0997,F,
2,'004,Afghanistan,1107,'02132,Asses,723601,Indirect emissions (N2O that volatilises) (Manure on pasture),3050,FAO TIER 1,kt,0.0916,E,,0.0955,E,,0.0927,E,,0.0946,E,,0.0939,E,,0.0965,E,,0.0959,E,,0.0858,E,,0.0867,E,,0.0914,E,,0.0991,E,,0.0973,E,,0.0982,E,,0.0991,E,,0.0886,F,,0.0886,F,
2,'004,Afghanistan,1107,'02132,Asses,72360,Manure left on pasture (Indirect emissions N2O),3050,FAO TIER 1,kt,0.1946,E,,0.203,E,,0.1971,E,,0.2009,E,,0.1996,E,,0.2051,E,,0.2039,E,,0.1824,E,,0.1842,E,,0.1943,E,,0.2106,E,,0.2068,E,,0.2087,E,,0.2105,E,,0.1882,F,,0.1882,F,
2,'004,Afghanistan,1107,'02132,Asses,72381,Manure applied to soils (N content),3050,FAO TIER 1,kg,1533346.75,E,,1599919.1,E,,1552991.05,E,,1583548.85,E,,1572635.35,E,,1616289.35,E,,1606576.335,E,,1437307.95,E,,1451331.798,E,,1531064.737,E,,1659457.699,E,,1629699.859,E,,1644335.954,E,,1658973.14,E,,1483508.433,F,,1483508.433,F,
2,'004,Afghanistan,1107,'02132,Asses,723812,Manure applied to soils that leaches (N content),3050,FAO TIER 1,kg,460004.025,E,,479975.73,E,,465897.315,E,,475064.655,E,,471790.605,E,,484886.805,E,,481972.9005,E,,431192.385,E,,435399.5392,E,,459319.4211,E,,497837.3098,E,,488909.9576,E,,493300.7861,E,,497691.942,E,,445052.53,F,,445052.53,F,
2,'004,Afghanistan,1107,'02132,Asses,723811,Manure applied to soils that volatilises (N content),3050,FAO TIER 1,kg,306669.35,E,,319983.82,E,,310598.21,E,,316709.77,E,,314527.07,E,,323257.87,E,,321315.267,E,,287461.59,E,,290266.3595,E,,306212.9474,E,,331891.5399,E,,325939.9718,E,,328867.1907,E,,331794.628,E,,296701.6867,F,,296701.6867,F,
2,'004,Afghanistan,1107,'02132,Asses,72301,Emissions (N2O) (Manure applied),3050,FAO TIER 1,kt,0.0343,E,,0.0358,E,,0.0348,E,,0.0355,E,,0.0352,E,,0.0362,E,,0.036,E,,0.0322,E,,0.0325,E,,0.0343,E,,0.0372,E,,0.0365,E,,0.0368,E,,0.0371,E,,0.0332,F,,0.0332,F,
2,'004,Afghanistan,1107,'02132,Asses,72341,Manure applied to soils (Direct emissions N2O),3050,FAO TIER 1,kt,0.0241,E,,0.0251,E,,0.0244,E,,0.0249,E,,0.0247,E,,0.0254,E,,0.0252,E,,0.0226,E,,0.0228,E,,0.0241,E,,0.0261,E,,0.0256,E,,0.0258,E,,0.0261,E,,0.0233,F,,0.0233,F,
2,'004,Afghanistan,1107,'02132,Asses,723612,Indirect emissions (N2O that leaches) (Manure applied),3050,FAO TIER 1,kt,0.0054,E,,0.0057,E,,0.0055,E,,0.0056,E,,0.0056,E,,0.0057,E,,0.0057,E,,0.0051,E,,0.0051,E,,0.0054,E,,0.0059,E,,0.0058,E,,0.0058,E,,0.0059,E,,0.0052,F,,0.0052,F,
2,'004,Afghanistan,1107,'02132,Asses,723611,Indirect emissions (N2O that volatilises) (Manure applied),3050,FAO TIER 1,kt,0.0048,E,,0.005,E,,0.0049,E,,0.005,E,,0.0049,E,,0.0051,E,,0.005,E,,0.0045,E,,0.0046,E,,0.0048,E,,0.0052,E,,0.0051,E,,0.0052,E,,0.0052,E,,0.0047,F,,0.0047,F,
2,'004,Afghanistan,1107,'02132,Asses,72361,Manure applied to soils (Indirect emissions N2O),3050,FAO TIER 1,kt,0.0102,E,,0.0107,E,,0.0104,E,,0.0106,E,,0.0105,E,,0.0108,E,,0.0107,E,,0.0096,E,,0.0097,E,,0.0102,E,,0.0111,E,,0.0109,E,,0.011,E,,0.0111,E,,0.0099,F,,0.0099,F,
2,'004,Afghanistan,1126,'02121.01,Camels,5111,Stocks,3050,FAO TIER 1,An,191000,A,,172000,A,,174000,A,,170000,A,,171000,A,,170000,A,,170500,A,,172000,A,,171384,I,,170219,I,,169410,I,,169133,I,,168335,I,,167537,I,,182667,F,,182667,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72431,Livestock total (Emissions N2O),3050,FAO TIER 1,kt,0.1586,E,,0.1428,E,,0.1445,E,,0.1411,E,,0.142,E,,0.1411,E,,0.1415,E,,0.1428,E,,0.1423,E,,0.1413,E,,0.1406,E,,0.1404,E,,0.1397,E,,0.1391,E,,0.1516,F,,0.1516,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72441,Livestock total (Emissions CH4),3050,FAO TIER 1,kt,9.0305,E,,8.1322,E,,8.2267,E,,8.0376,E,,8.0849,E,,8.0376,E,,8.0612,E,,8.1322,E,,8.103,E,,8.048,E,,8.0097,E,,7.9966,E,,7.9589,E,,7.9211,E,,8.6365,F,,8.6365,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72254,Enteric fermentation (Emissions CH4),3050,FAO TIER 1,kt,8.786,E,,7.912,E,,8.004,E,,7.82,E,,7.866,E,,7.82,E,,7.843,E,,7.912,E,,7.8837,E,,7.8301,E,,7.7929,E,,7.7801,E,,7.7434,E,,7.7067,E,,8.4027,F,,8.4027,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72386,"Manure management (manure treated, N content)",3050,FAO TIER 1,kg,347947.565,E,,313334.98,E,,316978.41,E,,309691.55,E,,311513.265,E,,309691.55,E,,310602.4075,E,,313334.98,E,,312212.8036,E,,310090.5056,E,,308616.7381,E,,308112.1231,E,,306658.3945,E,,305204.666,E,,332766.6067,F,,332766.6067,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72256,Manure management (Emissions CH4),3050,FAO TIER 1,kt,0.2445,E,,0.2202,E,,0.2227,E,,0.2176,E,,0.2189,E,,0.2176,E,,0.2182,E,,0.2202,E,,0.2194,E,,0.2179,E,,0.2168,E,,0.2165,E,,0.2155,E,,0.2144,E,,0.2338,F,,0.2338,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72306,Manure management (Emissions N2O),3050,FAO TIER 1,kt,0.0027,E,,0.0025,E,,0.0025,E,,0.0024,E,,0.0024,E,,0.0024,E,,0.0024,E,,0.0025,E,,0.0025,E,,0.0024,E,,0.0024,E,,0.0024,E,,0.0024,E,,0.0024,E,,0.0026,F,,0.0026,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72346,Manure management (Direct emissions N2O),3050,FAO TIER 1,kt,0.0027,E,,0.0025,E,,0.0025,E,,0.0024,E,,0.0024,E,,0.0024,E,,0.0024,E,,0.0025,E,,0.0025,E,,0.0024,E,,0.0024,E,,0.0024,E,,0.0024,E,,0.0024,E,,0.0026,F,,0.0026,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72366,Manure management (Indirect emissions N2O),3050,FAO TIER 1,kt,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,E,,0,F,,0,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72380,Manure left on pasture (N content),3050,FAO TIER 1,kg,6611003.735,E,,5953364.62,E,,6022589.79,E,,5884139.45,E,,5918752.035,E,,5884139.45,E,,5901445.743,E,,5953364.62,E,,5932043.268,E,,5891719.606,E,,5863718.025,E,,5854130.339,E,,5826509.496,E,,5798888.653,E,,6322565.527,F,,6322565.527,F,
2,'004,Afghanistan,1126,'02121.01,Camels,723802,Manure left on pasture that leaches (N content),3050,FAO TIER 1,kg,1983301.121,E,,1786009.386,E,,1806776.937,E,,1765241.835,E,,1775625.611,E,,1765241.835,E,,1770433.723,E,,1786009.386,E,,1779612.98,E,,1767515.882,E,,1759115.408,E,,1756239.102,E,,1747952.849,E,,1739666.596,E,,1896769.658,F,,1896769.658,F,
2,'004,Afghanistan,1126,'02121.01,Camels,723801,Manure left on pasture that volatilises (N content),3050,FAO TIER 1,kg,1322200.747,E,,1190672.924,E,,1204517.958,E,,1176827.89,E,,1183750.407,E,,1176827.89,E,,1180289.149,E,,1190672.924,E,,1186408.654,E,,1178343.921,E,,1172743.605,E,,1170826.068,E,,1165301.899,E,,1159777.731,E,,1264513.105,F,,1264513.105,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72300,Manure left on pasture (Emissions N2O),3050,FAO TIER 1,kt,0.148,E,,0.1333,E,,0.1349,E,,0.1318,E,,0.1325,E,,0.1318,E,,0.1322,E,,0.1333,E,,0.1328,E,,0.1319,E,,0.1313,E,,0.1311,E,,0.1305,E,,0.1299,E,,0.1416,F,,0.1416,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72340,Manure left on pasture (Direct emissions N2O),3050,FAO TIER 1,kt,0.1039,E,,0.0936,E,,0.0946,E,,0.0925,E,,0.093,E,,0.0925,E,,0.0927,E,,0.0936,E,,0.0932,E,,0.0926,E,,0.0921,E,,0.092,E,,0.0916,E,,0.0911,E,,0.0994,F,,0.0994,F,
2,'004,Afghanistan,1126,'02121.01,Camels,723602,Indirect emissions (N2O that leaches) (Manure on pasture),3050,FAO TIER 1,kt,0.0234,E,,0.021,E,,0.0213,E,,0.0208,E,,0.0209,E,,0.0208,E,,0.0209,E,,0.021,E,,0.021,E,,0.0208,E,,0.0207,E,,0.0207,E,,0.0206,E,,0.0205,E,,0.0224,F,,0.0224,F,
2,'004,Afghanistan,1126,'02121.01,Camels,723601,Indirect emissions (N2O that volatilises) (Manure on pasture),3050,FAO TIER 1,kt,0.0208,E,,0.0187,E,,0.0189,E,,0.0185,E,,0.0186,E,,0.0185,E,,0.0185,E,,0.0187,E,,0.0186,E,,0.0185,E,,0.0184,E,,0.0184,E,,0.0183,E,,0.0182,E,,0.0199,F,,0.0199,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72360,Manure left on pasture (Indirect emissions N2O),3050,FAO TIER 1,kt,0.0442,E,,0.0398,E,,0.0402,E,,0.0393,E,,0.0395,E,,0.0393,E,,0.0394,E,,0.0398,E,,0.0396,E,,0.0393,E,,0.0392,E,,0.0391,E,,0.0389,E,,0.0387,E,,0.0422,F,,0.0422,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72381,Manure applied to soils (N content),3050,FAO TIER 1,kg,347947.565,E,,313334.98,E,,316978.41,E,,309691.55,E,,311513.265,E,,309691.55,E,,310602.4075,E,,313334.98,E,,312212.8036,E,,310090.5056,E,,308616.7381,E,,308112.1231,E,,306658.3945,E,,305204.666,E,,332766.6067,F,,332766.6067,F,
2,'004,Afghanistan,1126,'02121.01,Camels,723812,Manure applied to soils that leaches (N content),3050,FAO TIER 1,kg,104384.2695,E,,94000.494,E,,95093.523,E,,92907.465,E,,93453.9795,E,,92907.465,E,,93180.7223,E,,94000.494,E,,93663.8411,E,,93027.1517,E,,92585.0214,E,,92433.6369,E,,91997.5184,E,,91561.3998,E,,99829.982,F,,99829.982,F,
2,'004,Afghanistan,1126,'02121.01,Camels,723811,Manure applied to soils that volatilises (N content),3050,FAO TIER 1,kg,69589.513,E,,62666.996,E,,63395.682,E,,61938.31,E,,62302.653,E,,61938.31,E,,62120.4815,E,,62666.996,E,,62442.5607,E,,62018.1011,E,,61723.3476,E,,61622.4246,E,,61331.6789,E,,61040.9332,E,,66553.3213,F,,66553.3213,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72301,Emissions (N2O) (Manure applied),3050,FAO TIER 1,kt,0.0078,E,,0.007,E,,0.0071,E,,0.0069,E,,0.007,E,,0.0069,E,,0.007,E,,0.007,E,,0.007,E,,0.0069,E,,0.0069,E,,0.0069,E,,0.0069,E,,0.0068,E,,0.0075,F,,0.0075,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72341,Manure applied to soils (Direct emissions N2O),3050,FAO TIER 1,kt,0.0055,E,,0.0049,E,,0.005,E,,0.0049,E,,0.0049,E,,0.0049,E,,0.0049,E,,0.0049,E,,0.0049,E,,0.0049,E,,0.0048,E,,0.0048,E,,0.0048,E,,0.0048,E,,0.0052,F,,0.0052,F,
2,'004,Afghanistan,1126,'02121.01,Camels,723612,Indirect emissions (N2O that leaches) (Manure applied),3050,FAO TIER 1,kt,0.0012,E,,0.0011,E,,0.0011,E,,0.0011,E,,0.0011,E,,0.0011,E,,0.0011,E,,0.0011,E,,0.0011,E,,0.0011,E,,0.0011,E,,0.0011,E,,0.0011,E,,0.0011,E,,0.0012,F,,0.0012,F,
2,'004,Afghanistan,1126,'02121.01,Camels,723611,Indirect emissions (N2O that volatilises) (Manure applied),3050,FAO TIER 1,kt,0.0011,E,,0.001,E,,0.001,E,,0.001,E,,0.001,E,,0.001,E,,0.001,E,,0.001,E,,0.001,E,,0.001,E,,0.001,E,,0.001,E,,0.001,E,,0.001,E,,0.001,F,,0.001,F,
2,'004,Afghanistan,1126,'02121.01,Camels,72361,Manure applied to soils (Indirect emissions N2O),3050,FAO TIER 1,kt,0.0023,E,,0.0021,E,,0.0021,E,,0.0021,E,,0.0021,E,,0.0021,E,,0.0021,E,,0.0021,E,,0.0021,E,,0.0021,E,,0.0021,E,,0.0021,E,,0.002,E,,0.002,E,,0.0022,F,,0.0022,F,
2,'004,Afghanistan,960,'F0960,"Cattle, dairy",5111,Stocks,3050,FAO TIER 1,An,3900000,E,,3800000,E,,4000000,E,,4040000,E,,4050000,E,,3546870,E,,3532299,E,,3367353,E,,3455552,E,,3478070,E,,3523277,E,,3567559,E,,3648399,E,,3709761,E,,3550926,F,,4378670,F,
2,'004,Afghanistan,960,'F0960,"Cattle, dairy",72431,Livestock total (Emissions N2O),3050,FAO TIER 1,kt,4.4219,E,,4.3085,E,,4.5353,E,,4.5806,E,,4.5919,E,,4.0215,E,,4.005,E,,3.818,E,,3.918,E,,3.9435,E,,3.9947,E,,4.0449,E,,4.1366,E,,4.2062,E,,4.0261,F,,4.9646,F,
2,'004,Afghanistan,960,'F0960,"Cattle, dairy",72441,Livestock total (Emissions CH4),3050,FAO TIER 1,kt,245.7,E,,239.4,E,,252,E,,254.52,E,,255.15,E,,223.4528,E,,222.5348,E,,212.1432,E,,217.6998,E,,219.1184,E,,221.9665,E,,224.7562,E,,229.8491,E,,233.7149,E,,223.7083,F,,275.8562,F,
2,'004,Afghanistan,960,'F0960,"Cattle, dairy",72254,Enteric fermentation (Emissions CH4),3050,FAO TIER 1,kt,226.2,E,,220.4,E,,232,E,,234.32,E,,234.9,E,,205.7185,E,,204.8733,E,,195.3065,E,,200.422,E,,201.7281,E,,204.3501,E,,206.9184,E,,211.6071,E,,215.1661,E,,205.9537,F,,253.9628,F,
2,'004,Afghanistan,960,'F0960,"Cattle, dairy",72386,"Manure management (manure treated, N content)",3050,FAO TIER 1,kg,38637348.75,E,,37646647.5,E,,39628050,E,,40024330.5,E,,40123400.63,E,,35138885.43,E,,34994530.35,E,,33360408.26,E,,34234196.86,E,,34457282.97,E,,34905149.28,E,,35343851.61,E,,36144734.5,E,,36752648.6,E,,35179069.75,F,,43379536.58,F,
2,'004,Afghanistan,960,'F0960,"Cattle, dairy",72256,Manure management (Emissions CH4),3050,FAO TIER 1,kt,19.5,E,,19,E,,20,E,,20.2,E,,20.25,E,,17.7343,E,,17.6615,E,,16.8368,E,,17.2778,E,,17.3904,E,,17.6164,E,,17.8378,E,,18.242,E,,18.5488,E,,17.7546,F,,21.8933,F,
2,'004,Afghanistan,960,'F0960,"Cattle, dairy",72306,Manure management (Emissions N2O),3050,FAO TIER 1,kt,0.0645,E,,0.0628,E,,0.0661,E,,0.0668,E,,0.067,E,,0.0586,E,,0.0584,E,,0.0557,E,,0.0571,E,,0.0575,E,,0.0582,E,,0.059,E,,0.0603,E,,0.0613,E,,0.0587,F,,0.0724,F,
2,'004,Afghanistan,960,'F0960,"Cattle, dairy",72346,Manure management (Direct emissions N2O),3050,FAO TIER 1,kt,0.0145,E,,0.0141,E,,0.0148,E,,0.015,E,,0.015,E,,0.0131,E,,0.0131,E,,0.0125,E,,0.0128,E,,0.0129,E,,0.0131,E,,0.0132,E,,0.0135,E,,0.0138,E,,0.0132,F,,0.0162,F,
2,'004,Afghanistan,960,'F0960,"Cattle, dairy",72366,Manure management (Indirect emissions N2O),3050,FAO TIER 1,kt,0.05,E,,0.0487,E,,0.0513,E,,0.0518,E,,0.0519,E,,0.0455,E,,0.0453,E,,0.0432,E,,0.0443,E,,0.0446,E,,0.0452,E,,0.0458,E,,0.0468,E,,0.0476,E,,0.0455,F,,0.0562,F,
2,'004,Afghanistan,960,'F0960,"Cattle, dairy",72380,Manure left on pasture (N content),3050,FAO TIER 1,kg,96593371.88,E,,94116618.75,E,,99070125,E,,100060826.3,E,,100308501.6,E,,87847213.56,E,,87486325.87,E,,83401020.66,E,,85585492.15,E,,86143207.41,E,,87262873.2,E,,88359629.02,E,,90361836.25,E,,91881621.5,E,,87947674.37,F,,108448841.4,F,
2,'004,Afghanistan,960,'F0960,"Cattle, dairy",723802,Manure left on pasture that leaches (N content),3050,FAO TIER 1,kg,28978011.56,E,,28234985.63,E,,29721037.5,E,,30018247.88,E,,30092550.47,E,,26354164.07,E,,26245897.76,E,,25020306.2,E,,25675647.64,E,,25842962.22,E,,26178861.96,E,,26507888.71,E,,27108550.87,E,,27564486.45,E,,26384302.31,F,,32534652.43,F,
2,'004,Afghanistan,960,'F0960,"Cattle, dairy",723801,Manure left on pasture that volatilises (N content),3050,FAO TIER 1,kg,19318674.38,E,,18823323.75,E,,19814025,E,,20012165.25,E,,20061700.31,E,,17569442.71,E,,17497265.17,E,,16680204.13,E,,17117098.43,E,,17228641.48,E,,17452574.64,E,,17671925.8,E,,18072367.25,E,,18376324.3,E,,17589534.87,F,,21689768.29,F,
2,'004,Afghanistan,960,'F0960,"Cattle, dairy",72300,Manure left on pasture (Emissions N2O),3050,FAO TIER 1,kt,3.6809,E,,3.5865,E,,3.7753,E,,3.813,E,,3.8225,E,,3.3476,E,,3.3339,E,,3.1782,E,,3.2614,E,,3.2827,E,,3.3253,E,,3.3671,E,,3.4434,E,,3.5013,E,,3.3514,F,,4.1327,F,
2,'004,Afghanistan,960,'F0960,"Cattle, dairy",72340,Manure left on pasture (Direct emissions N2O),3050,FAO TIER 1,kt,3.0358,E,,2.958,E,,3.1136,E,,3.1448,E,,3.1526,E,,2.7609,E,,2.7496,E,,2.6212,E,,2.6898,E,,2.7074,E,,2.7425,E,,2.777,E,,2.8399,E,,2.8877,E,,2.7641,F,,3.4084,F,
