area,item,unit,year,value
Afghanistan,Cattle,kt,2010,297.117
Afghanistan,Cattle,kt,2011,289.396
Afghanistan,Cattle,kt,2012,288.076
Afghanistan,Cattle,kt,2013,289.175
Afghanistan,Cattle,kt,2014,292.821
Afghanistan,Cattle,kt,2015,273.1626
Afghanistan,Cattle,kt,2016,271.8958
Afghanistan,Cattle,kt,2017,258.823
Afghanistan,Cattle,kt,2018,267.9302
Afghanistan,Cattle,kt,2019,269.7491
Afghanistan,Cattle,kt,2020,273.3783
Afghanistan,Cattle,kt,2021,276.9318
Afghanistan,Cattle,kt,2022,283.5013
Afghanistan,Cattle,kt,2023,288.4669
Afghanistan,Goats,kt,2010,34.6918
Afghanistan,Goats,kt,2011,39.0149
Afghanistan,Goats,kt,2012,37.3592
Afghanistan,Goats,kt,2013,35.9591
Afghanistan,Goats,kt,2014,36.0715
Afghanistan,Goats,kt,2015,39.4645
Afghanistan,Goats,kt,2016,38.0593
Afghanistan,Goats,kt,2017,38.8258
Afghanistan,Goats,kt,2018,39.6609
Afghanistan,Goats,kt,2019,40.277
Afghanistan,Goats,kt,2020,39.5652
Afghanistan,Goats,kt,2021,40.1428
Afghanistan,Goats,kt,2022,40.6517
Afghanistan,Goats,kt,2023,41.0783
Afghanistan,Sheep,kt,2010,67.7586
Afghanistan,Sheep,kt,2011,72.7362
Afghanistan,Sheep,kt,2012,70.482
Afghanistan,Sheep,kt,2013,67.0191
Afghanistan,Sheep,kt,2014,68.7735
Afghanistan,Sheep,kt,2015,67.4118
Afghanistan,Sheep,kt,2016,67.6525
Afghanistan,Sheep,kt,2017,70.7166
Afghanistan,Sheep,kt,2018,68.5936
Afghanistan,Sheep,kt,2019,66.3
Afghanistan,Sheep,kt,2020,65.3354
Afghanistan,Sheep,kt,2021,64.77
Afghanistan,Sheep,kt,2022,63.75
Afghanistan,Sheep,kt,2023,62.4198
Armenia,Buffalo,kt,2010,0.0268
Armenia,Buffalo,kt,2011,0.0271
Armenia,Buffalo,kt,2012,0.0278
Armenia,Buffalo,kt,2013,0.0313
Armenia,Buffalo,kt,2014,0.0431
Armenia,Buffalo,kt,2015,0.0425
Armenia,Buffalo,kt,2016,0.0408
Armenia,Buffalo,kt,2017,0.0422
Armenia,Buffalo,kt,2018,0.0423
Armenia,Buffalo,kt,2019,0.0395
Armenia,Buffalo,kt,2020,0.0407
Armenia,Buffalo,kt,2021,0.046
Armenia,Buffalo,kt,2022,0.0429
Armenia,Buffalo,kt,2023,0.032
Armenia,Cattle,kt,2010,22.6419
Armenia,Cattle,kt,2011,22.645
Armenia,Cattle,kt,2012,23.7094
Armenia,Cattle,kt,2013,26.0045
Armenia,Cattle,kt,2014,26.6365
Armenia,Cattle,kt,2015,27.0556
Armenia,Cattle,kt,2016,27.5471
Armenia,Cattle,kt,2017,25.7203
Armenia,Cattle,kt,2018,23.1678
Armenia,Cattle,kt,2019,22.3634
Armenia,Cattle,kt,2020,22.5636
Armenia,Cattle,kt,2021,23.8822
Armenia,Cattle,kt,2022,21.8461
Armenia,Cattle,kt,2023,19.6126
Armenia,Goats,kt,2010,0.1517
Armenia,Goats,kt,2011,0.1476
Armenia,Goats,kt,2012,0.146
Armenia,Goats,kt,2013,0.1483
Armenia,Goats,kt,2014,0.1559
Armenia,Goats,kt,2015,0.163
Armenia,Goats,kt,2016,0.157
Armenia,Goats,kt,2017,0.1406
Armenia,Goats,kt,2018,0.1128
Armenia,Goats,kt,2019,0.1152
Armenia,Goats,kt,2020,0.1172
Armenia,Goats,kt,2021,0.1245
Armenia,Goats,kt,2022,0.1121
Armenia,Goats,kt,2023,0.1051
Armenia,Sheep,kt,2010,2.4548
Armenia,Sheep,kt,2011,2.5685
Armenia,Sheep,kt,2012,2.8643
Armenia,Sheep,kt,2013,3.2931
Armenia,Sheep,kt,2014,3.5041
Armenia,Sheep,kt,2015,3.6408
Armenia,Sheep,kt,2016,3.8114
Armenia,Sheep,kt,2017,3.5678
